donor,region,roi,has_septa,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast
HPAP-037,Body of pancreas,ROI2,True,,,,23.2,89.6,147.9,,,,59.1,129.0,197.7,58.0,125.3,182.0,9.1,73.1,178.4,47.8,148.6,201.9,,,
HPAP-037,Body of pancreas,ROI3,True,284.3,345.9,390.0,251.5,405.8,489.7,,,,68.7,222.5,430.3,120.3,273.2,505.4,256.3,356.4,557.2,262.7,368.5,494.1,141.0,320.7,531.7
HPAP-037,Head of pancreas,ROI1,True,75.4,143.8,240.9,40.4,135.0,272.2,,,,86.2,203.1,298.5,137.5,248.0,366.1,136.7,230.8,343.8,141.2,199.9,270.7,,,
HPAP-037,Head of pancreas,ROI2,True,212.0,280.6,308.6,85.1,170.8,267.1,,,,64.7,162.2,298.7,113.1,198.1,322.8,80.8,173.0,281.3,125.9,241.8,325.1,109.5,216.3,329.0
HPAP-037,Head of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-037,Tail of pancreas,ROI1,True,12.1,140.4,279.7,127.6,261.2,302.5,,,,68.3,194.0,279.0,99.6,196.0,342.3,63.7,186.5,313.5,,,,165.8,244.0,323.5
HPAP-037,Tail of pancreas,ROI2,True,,,,340.1,514.7,659.9,,,,355.9,462.9,635.8,171.3,299.5,613.8,367.6,516.9,635.3,439.0,527.1,592.7,,,
HPAP-037,Tail of pancreas,ROI3,True,136.7,278.8,416.8,135.3,276.4,486.3,,,,129.6,240.3,559.9,189.2,339.4,473.7,172.2,310.3,495.1,,,,,,
HPAP-039,Body of pancreas,ROI3,True,75.0,186.5,374.5,90.7,174.6,325.3,,,,23.8,169.7,286.8,32.8,140.4,300.1,,,,77.7,197.1,334.3,,,
HPAP-039,Body of pancreas,ROI4,True,109.8,269.0,481.3,70.7,257.9,461.5,,,,84.4,167.7,402.6,115.3,257.2,449.2,,,,85.1,156.0,276.6,,,
HPAP-039,Body of pancreas,ROI5,True,78.7,164.7,283.3,44.7,144.0,264.9,,,,16.7,141.9,277.2,103.1,206.7,292.3,,,,98.0,178.9,272.8,75.4,167.5,274.4
HPAP-039,Head of pancreas,ROI1,True,244.8,498.2,832.5,393.6,599.6,894.3,507.4,579.9,925.4,256.6,464.5,796.1,282.4,508.0,847.9,,,,321.8,469.9,710.6,,,
HPAP-039,Head of pancreas,ROI2,True,66.1,132.3,219.6,62.7,150.3,232.7,,,,85.1,152.7,226.1,80.7,149.6,235.0,,,,69.8,139.6,203.8,19.7,96.6,185.3
HPAP-039,Head of pancreas,ROI4,True,131.2,299.2,511.9,111.4,292.5,561.0,,,,164.0,333.3,500.3,133.7,326.2,494.0,,,,,,,64.6,173.7,406.2
HPAP-039,Tail of pancreas,ROI1,True,81.1,174.9,324.1,18.8,121.9,227.3,,,,33.3,124.3,307.1,81.3,177.2,322.1,,,,,,,,,
HPAP-039,Tail of pancreas,ROI2,True,43.7,200.7,449.6,38.9,154.8,376.5,8.1,18.4,156.4,18.0,198.3,624.8,22.2,154.0,277.7,,,,,,,,,
HPAP-039,Tail of pancreas,ROI3,True,137.5,298.7,465.9,43.7,261.8,443.6,86.2,188.4,320.5,112.4,331.3,421.7,122.0,273.8,464.3,,,,,,,67.0,195.7,349.3
HPAP-040,Body of pancreas,ROI1,True,,,,62.6,163.1,381.4,,,,80.1,350.5,566.4,185.6,429.0,620.6,191.0,366.7,621.3,262.6,349.8,382.9,,,
HPAP-040,Body of pancreas,ROI2,True,9.0,29.5,55.5,31.7,77.4,152.9,,,,42.1,140.4,223.2,82.1,151.9,243.2,27.7,137.8,266.1,,,,84.6,167.7,293.2
HPAP-040,Body of pancreas,ROI3,True,77.5,79.2,149.7,43.5,108.2,180.2,,,,29.9,119.2,245.7,15.0,74.2,166.1,11.4,67.7,135.9,,,,105.4,186.3,307.0
HPAP-040,Head of pancreas,ROI1,True,,,,93.5,196.6,304.8,,,,71.3,153.6,247.6,89.7,198.6,299.9,108.4,235.8,374.2,,,,,,
HPAP-040,Head of pancreas,ROI2,True,,,,249.0,512.1,616.5,,,,200.4,439.1,519.9,136.6,320.3,443.6,177.5,366.6,530.6,,,,,,
HPAP-040,Head of pancreas,ROI3,True,,,,98.3,183.3,351.0,,,,107.6,178.6,413.4,87.1,164.1,343.0,96.0,187.3,402.2,223.4,286.6,362.7,,,
HPAP-040,Tail of pancreas,ROI1,True,,,,29.7,60.3,91.3,,,,8.5,46.2,135.1,16.5,63.5,138.6,25.5,72.4,152.9,,,,,,
HPAP-040,Tail of pancreas,ROI2,True,,,,418.1,642.1,804.2,,,,264.9,452.9,734.6,381.5,569.2,742.0,345.1,532.1,727.2,,,,,,
HPAP-040,Tail of pancreas,ROI3,True,,,,12.9,38.4,127.6,,,,15.0,69.6,152.5,15.9,74.0,153.4,10.3,53.8,146.3,24.3,58.4,94.2,,,
HPAP-042,Body of pancreas,ROI1,True,,,,,,,52.7,86.1,148.2,104.4,221.5,301.6,28.9,121.9,296.4,413.3,432.1,450.5,10.6,89.5,508.8,76.4,294.8,411.0
HPAP-042,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,60.9,125.9,186.2,,,
HPAP-042,Body of pancreas,ROI3,True,130.2,246.8,301.6,,,,,,,132.8,177.8,294.2,128.0,193.9,286.6,14.6,80.1,155.4,,,,,,
HPAP-042,Tail of pancreas,ROI1,True,,,,,,,,,,297.9,585.4,748.4,367.2,656.0,794.7,639.0,752.5,849.0,439.1,642.3,801.7,,,
HPAP-042,Tail of pancreas,ROI2,True,,,,,,,157.4,267.1,493.4,183.0,291.5,515.6,90.0,244.6,467.3,275.4,334.4,572.1,,,,,,
HPAP-046,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
