donor,region,roi,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-012,Body of pancreas,ROI2,,,,,,,,,,,,,130.6,108.1,17.5,,,303.0,144.6,19.7,,,299.1,100.3,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Body of pancreas,ROI3,,,,,,,,,,,,,,,,,,,78.4,71.4,,,,119.9,55.0,,,,,,,,,,,,,,,21.6,20.7,,,,121.0,76.1,15.3,,,,,,,,,,,,,,,,,
HPAP-012,Head of pancreas,ROI1,142.7,226.2,61.0,32.6,10.8,200.6,139.9,48.4,63.3,11.3,139.0,140.2,11.1,44.3,13.3,172.5,203.4,60.1,33.2,14.3,194.5,193.6,38.6,49.7,12.2,,,,,,,,,,,,16.2,30.9,46.7,19.0,25.3,226.9,328.7,112.1,54.6,19.3,13.8,,,,,,,,,,,,,,,,,
HPAP-012,Head of pancreas,ROI2,,,,,,,17.9,58.6,62.4,,,26.7,28.3,94.3,,,18.6,85.6,42.1,,,,,,,,,,,,,,,,,,,28.6,22.3,34.9,,,30.4,44.1,108.3,,15.5,,,,,,,,,,,,,,,,,
HPAP-012,Head of pancreas,ROI3,260.9,76.9,128.4,52.3,8.6,158.0,176.8,105.4,36.9,11.7,221.7,139.4,24.1,56.9,11.0,259.7,126.2,111.4,34.0,12.1,235.1,130.8,94.0,47.9,10.9,,,,,,,,,,,,21.3,21.8,38.2,18.4,21.9,207.6,128.6,96.0,45.3,11.5,15.4,,,,,,,,,,,,,,,,,
HPAP-012,Tail of pancreas,ROI1,603.2,72.7,250.5,28.6,10.8,125.5,114.4,265.3,26.9,17.5,225.1,127.2,136.6,27.6,11.1,286.3,129.9,203.4,44.7,13.5,416.5,225.0,219.3,57.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Tail of pancreas,ROI2,329.4,148.0,,11.4,9.9,498.4,101.8,,28.5,13.1,,,,,,569.7,136.6,,31.2,18.1,429.4,167.1,,47.6,12.3,,,,,,,,,,,,,,,,,,,,,,,107.6,225.0,,203.8,114.2,407.4,143.4,,66.0,27.6,14.4,,,,,,
HPAP-012,Tail of pancreas,ROI3,,,,,,,193.0,105.7,61.8,10.7,,131.7,27.4,59.6,10.3,,165.6,103.0,33.6,13.3,,191.9,98.3,58.7,11.8,,,,,,,,,,,,,,,,,,,,,,,,82.9,99.1,62.4,62.8,,228.2,134.3,78.7,15.3,33.5,,,,,,
HPAP-014,Body of pancreas,ROI1,359.2,169.4,,174.5,60.4,418.0,131.5,,72.3,17.9,,,,,,466.2,179.8,,39.1,19.8,392.6,191.0,,88.4,20.8,,,,,,,,,,,,,,,,,,,,,,,125.0,239.8,,294.2,249.3,452.5,263.2,,35.3,31.7,18.1,,,,,,
HPAP-014,Body of pancreas,ROI2,159.0,97.5,326.5,32.3,15.0,188.2,94.6,215.6,42.9,14.3,270.6,41.3,171.6,23.7,12.5,224.2,89.2,202.4,44.7,13.4,256.8,98.5,215.5,44.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Body of pancreas,ROI3,,,,,,,175.5,,134.6,40.5,,,,,,,138.6,,59.3,17.1,,153.9,,83.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
