donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-035,Head of pancreas,ROI1,4076,0.12487733071638861,0.21368989205103042,0.338567222767419
HPAP-059,Head of pancreas,ROI3,3334,0.23635272945410918,0.10317936412717456,0.3395320935812837
HPAP-040,Tail of pancreas,ROI3,1893,0.13681986265187532,0.20602218700475436,0.3428420496566297
HPAP-146,Body of pancreas,ROI1,4324,0.14061054579093432,0.2032839962997225,0.34389454209065684
HPAP-039,Tail of pancreas,ROI3,2988,0.21084337349397592,0.13319946452476572,0.34404283801874164
HPAP-037,Tail of pancreas,ROI2,1413,0.21089879688605803,0.13517338995046002,0.3460721868365181
HPAP-063,Tail of pancreas,ROI2,2862,0.0,0.3490566037735849,0.3490566037735849
HPAP-034,Tail of pancreas,ROI3,2241,0.1566265060240964,0.19767960731816153,0.3543061133422579
HPAP-146,Tail of pancreas,ROI1,4108,0.18938656280428431,0.16504381694255113,0.35443037974683544
HPAP-035,Body of pancreas,ROI1,4081,0.1516785101690762,0.20289144817446705,0.35456995834354327
HPAP-046,Tail of pancreas,ROI2,3533,0.23294650438720635,0.12312482309651854,0.3560713274837249
HPAP-054,Tail of pancreas,ROI3,1424,0.09058988764044944,0.2675561797752809,0.35814606741573035
HPAP-139,Tail of pancreas,ROI1,4781,0.0,0.36540472704455135,0.36540472704455135
HPAP-074,Head of pancreas,ROI5,3196,0.16739674593241552,0.19806007509386733,0.36545682102628285
HPAP-067,Tail of pancreas,ROI3,3639,0.19758175322890903,0.16817807089859851,0.3657598241275075
HPAP-027,Body of pancreas,ROI1,2251,0.2318969346956908,0.1341625944024878,0.3660595290981786
HPAP-093,Head of pancreas,ROI3,2625,0.0,0.37104761904761907,0.37104761904761907
HPAP-054,Head of pancreas,ROI1,2185,0.16521739130434782,0.21052631578947367,0.3757437070938215
HPAP-053,Tail of pancreas,ROI3,3255,0.08417818740399385,0.2921658986175115,0.3763440860215054
HPAP-040,Tail of pancreas,ROI2,2734,0.09326993416239941,0.28383321141185075,0.3771031455742502
HPAP-056,Head of pancreas,ROI1,7951,0.12048798893220979,0.2580807445604327,0.3785687334926425
HPAP-014,Tail of pancreas,ROI1,2223,0.0,0.38011695906432746,0.38011695906432746
HPAP-047,Body of pancreas,ROI2,2325,0.0,0.38064516129032255,0.38064516129032255
HPAP-039,Head of pancreas,ROI2,2781,0.11578568860122258,0.2682488313556275,0.38403451995685006
HPAP-040,Tail of pancreas,ROI1,3095,0.23392568659127624,0.15250403877221325,0.3864297253634895
HPAP-059,Tail of pancreas,ROI2,2032,0.21653543307086615,0.1702755905511811,0.3868110236220472
HPAP-014,Head of pancreas,ROI2,439,0.0,0.38724373576309795,0.38724373576309795
HPAP-046,Tail of pancreas,ROI3,3076,0.20903771131339402,0.1788036410923277,0.3878413524057217
HPAP-053,Head of pancreas,ROI3,3760,0.14308510638297872,0.24601063829787234,0.38909574468085106
HPAP-012,Tail of pancreas,ROI1,3573,0.0,0.38986845787853347,0.38986845787853347
HPAP-034,Head of pancreas,ROI1,3057,0.1393523061825319,0.2512266928361138,0.3905789990186457
HPAP-018,Body of pancreas,ROI3,1533,0.395955642530985,0.0,0.395955642530985
HPAP-056,Body of pancreas,ROI3,3242,0.2285626156693399,0.17334978408389884,0.4019123997532388
HPAP-042,Body of pancreas,ROI3,944,0.0,0.4025423728813559,0.4025423728813559
HPAP-146,Tail of pancreas,ROI3,4362,0.10751948647409446,0.2998624484181568,0.4073819348922513
HPAP-105,Head of pancreas,ROI2,2777,0.1523226503420958,0.2560316888728844,0.4083543392149802
HPAP-006,Body of pancreas,ROI4,837,0.15531660692951016,0.2532855436081243,0.40860215053763443
HPAP-036,Head of pancreas,ROI1,3418,0.0,0.41398478642480985,0.41398478642480985
HPAP-004,Head of pancreas,ROI3,3090,0.0,0.41423948220064727,0.41423948220064727
HPAP-105,Body of pancreas,ROI4,3615,0.3889349930843707,0.02793914246196404,0.41687413554633473
HPAP-036,Tail of pancreas,ROI1,2866,0.17759944173063502,0.2397069085833915,0.4173063503140265
HPAP-099,Head of pancreas,ROI1,4322,0.0,0.4227209625173531,0.4227209625173531
HPAP-026,Head of pancreas,ROI3,2353,0.1572460688482788,0.26604334891627707,0.42328941776455586
HPAP-037,Tail of pancreas,ROI3,3178,0.210509754562618,0.2146003775959723,0.4251101321585903
HPAP-139,Tail of pancreas,ROI2,4632,0.0,0.42573402417962003,0.42573402417962003
HPAP-067,Tail of pancreas,ROI2,3313,0.23754904920012074,0.19136734077875037,0.4289163899788711
HPAP-036,Head of pancreas,ROI2,3274,0.0,0.4324984728161271,0.4324984728161271
HPAP-027,Body of pancreas,ROI3,2022,0.13452027695351138,0.29821958456973297,0.43273986152324434
HPAP-014,Head of pancreas,ROI1,973,0.0,0.43371017471736895,0.43371017471736895
HPAP-012,Head of pancreas,ROI3,4715,0.0,0.4343584305408271,0.4343584305408271
HPAP-105,Tail of pancreas,ROI3,3670,0.0,0.43487738419618527,0.43487738419618527
HPAP-034,Body of pancreas,ROI2,3855,0.1424124513618677,0.2939040207522698,0.4363164721141375
HPAP-063,Tail of pancreas,ROI3,4775,0.1817801047120419,0.25591623036649214,0.437696335078534
HPAP-059,Body of pancreas,ROI2,1690,0.27928994082840236,0.15857988165680473,0.4378698224852071
HPAP-040,Body of pancreas,ROI3,1450,0.22482758620689655,0.21310344827586206,0.4379310344827586
HPAP-053,Tail of pancreas,ROI1,2076,0.21965317919075145,0.22350674373795762,0.4431599229287091
HPAP-059,Tail of pancreas,ROI3,2724,0.4280469897209985,0.016519823788546256,0.4445668135095448
HPAP-034,Head of pancreas,ROI2,3605,0.18169209431345354,0.26435506241331486,0.4460471567267684
HPAP-063,Body of pancreas,ROI3,1664,0.1201923076923077,0.3269230769230769,0.44711538461538464
HPAP-099,Body of pancreas,ROI2,5461,0.18091924555942135,0.2666178355612525,0.44753708112067386
HPAP-014,Tail of pancreas,ROI2,1736,0.18721198156682028,0.26036866359447003,0.4475806451612903
HPAP-037,Body of pancreas,ROI1,3565,0.23394109396914445,0.2182328190743338,0.45217391304347826
HPAP-014,Body of pancreas,ROI1,424,0.0,0.455188679245283,0.455188679245283
HPAP-040,Body of pancreas,ROI2,1599,0.26391494684177613,0.1957473420888055,0.45966228893058164
HPAP-036,Tail of pancreas,ROI2,3169,0.16756074471442095,0.2937835279267908,0.46134427264121175
HPAP-146,Head of pancreas,ROI4,4586,0.22699520279110336,0.23680767553423462,0.46380287832533795
HPAP-146,Tail of pancreas,ROI2,7836,0.13667687595712097,0.327718223583461,0.46439509954058195
HPAP-074,Body of pancreas,ROI3,3030,0.1735973597359736,0.29108910891089107,0.4646864686468647
HPAP-046,Body of pancreas,ROI2,2811,0.22411953041622198,0.24297403059409464,0.4670935610103166
HPAP-105,Tail of pancreas,ROI4,3391,0.0,0.46829843703922147,0.46829843703922147
HPAP-014,Body of pancreas,ROI2,2595,0.0,0.47167630057803467,0.47167630057803467
HPAP-046,Head of pancreas,ROI1,3038,0.0,0.4726793943383805,0.4726793943383805
HPAP-036,Head of pancreas,ROI3,2188,0.0,0.476691042047532,0.476691042047532
HPAP-004,Tail of pancreas,ROI1,4588,0.11769834350479512,0.35919790758500436,0.4768962510897995
HPAP-056,Head of pancreas,ROI2,2003,0.18572141787319021,0.2920619071392911,0.47778332501248133
HPAP-059,Tail of pancreas,ROI1,2474,0.4296685529506871,0.050121261115602264,0.4797898140662894
HPAP-082,Body of pancreas,ROI4,4216,0.32969639468690703,0.1527514231499051,0.4824478178368121
HPAP-006,Head of pancreas,ROI2,2160,0.1259259259259259,0.3578703703703704,0.4837962962962963
HPAP-105,Head of pancreas,ROI3,2556,0.22496087636932707,0.26173708920187794,0.48669796557120504
HPAP-082,Head of pancreas,ROI3,3103,0.4276506606509829,0.05994199162101192,0.48759265227199483
HPAP-075,Tail of pancreas,ROI1,4363,0.15700206280082513,0.33073573229429293,0.48773779509511805
HPAP-034,Tail of pancreas,ROI2,3571,0.20134416129935592,0.28647437692523103,0.487818538224587
HPAP-054,Body of pancreas,ROI1,2971,0.18545944126556715,0.30865028609895656,0.49410972736452374
HPAP-012,Head of pancreas,ROI1,4911,0.2777438403583791,0.21686010995723884,0.494603950315618
HPAP-004,Head of pancreas,ROI1,2276,0.03427065026362039,0.46309314586994726,0.4973637961335676
HPAP-027,Body of pancreas,ROI2,926,0.2386609071274298,0.2591792656587473,0.4978401727861771
HPAP-005,Body of pancreas,ROI1,1673,0.22893006575014943,0.27017334130304843,0.4991034070531979
HPAP-037,Head of pancreas,ROI1,3471,0.15528666090463844,0.3462978968596946,0.501584557764333
