donor,region,roi,panel,area_mm2,n_cells,density_Endothelial,density_Fibroblast,density_Macrophage,density_CD8 T,density_CD4 T,density_Treg,density_B cell,density_NK,density_Monocyte,density_DC,density_Myeloid (other),density_Parenchyma,density_ambiguous
HPAP-018,Tail of pancreas,ROI4,CD11b,0.999,6005,196.19619619619618,647.6476476476477,29.02902902902903,57.05705705705706,13.013013013013014,18.01801801801802,8.008008008008009,2.002002002002002,2.002002002002002,33.033033033033036,13.013013013013014,4963.963963963964,28.02802802802803
HPAP-018,Tail of pancreas,ROI5,CD11b,1.001,5735,3534.465534465535,118.8811188811189,64.93506493506494,63.936063936063945,18.981018981018984,30.96903096903097,15.984015984015986,4.9950049950049955,0.0,51.948051948051955,41.95804195804196,1739.2607392607395,42.957042957042965
HPAP-026,Head of pancreas,ROI1,CD11b,1.0,3963,297.0,1250.0,199.0,40.0,18.0,1.0,3.0,5.0,27.0,19.0,14.0,2079.0,11.0
HPAP-026,Head of pancreas,ROI2,CD11b,0.998998,8112,614.6158450767668,1998.001998001998,113.11333956624537,34.034102170374716,22.022066110242463,0.0,7.007021035077147,20.02006010022042,6.006018030066126,92.09227646101394,45.04513522549595,5161.171493836824,7.007021035077147
HPAP-026,Head of pancreas,ROI3,CD11b,1.442401,9963,563.643536020843,2138.101679075375,136.5778309915204,39.51744348485615,18.025500536951927,0.0,3.466442410952294,8.319461786285506,32.584558662951565,20.105365983523306,29.11811625199927,3904.600731696664,13.172481161618718
HPAP-026,Tail of pancreas,ROI1,CD11b,0.998998,8465,770.7723138584862,2595.6007919935773,426.42728013469497,89.08926744598087,38.038114190418796,1.001003005011021,0.0,16.016048080176336,111.11133355622333,91.09127345600291,48.048144240529005,4256.264777306861,30.03009015033063
HPAP-026,Tail of pancreas,ROI2,CD11b,0.998998,8290,697.6990944926816,2553.5586657831145,406.4072200344745,113.11333956624537,62.0621863106833,3.003009015033063,7.007021035077147,34.034102170374716,101.10130350611313,53.053159265584114,36.03610818039675,4201.209612031255,30.03009015033063
HPAP-026,Tail of pancreas,ROI3,CD11b,1.201,8964,510.40799333888424,2437.9683597002495,169.0258118234804,70.77435470441299,29.142381348875936,0.832639467110741,4.163197335553705,7.493755203996669,24.97918401332223,36.63613655287261,25.81182348043297,4136.552872606161,9.991673605328891
HPAP-027,Body of pancreas,ROI1,CD11b,1.001,6588,476.5234765234766,1107.892107892108,110.8891108891109,40.95904095904096,24.97502497502498,5.994005994005994,14.985014985014987,48.95104895104895,13.986013986013987,65.93406593406594,72.92707292707294,4578.4215784215785,18.981018981018984
HPAP-027,Body of pancreas,ROI2,CD11b,1.0,6669,337.0,1053.0,16.0,176.0,77.0,3.0,121.0,1.0,0.0,19.0,1.0,4854.0,11.0
HPAP-027,Body of pancreas,ROI3,CD11b,1.0,6389,481.0,1282.0,33.0,54.0,28.0,1.0,4.0,11.0,11.0,30.0,19.0,4433.0,2.0
HPAP-027,Head of pancreas,ROI1,CD11b,1.0,3079,329.0,572.0,74.0,48.0,6.0,5.0,1.0,13.0,59.0,5.0,7.0,1958.0,2.0
HPAP-027,Head of pancreas,ROI2,CD11b,1.001,4287,457.5424575424576,895.1048951048951,55.94405594405595,26.973026973026975,23.976023976023978,22.97702297702298,1.9980019980019983,9.990009990009991,94.90509490509491,1.9980019980019983,6.993006993006993,2667.332667332668,16.983016983016984
HPAP-027,Head of pancreas,ROI3,CD11b,1.001,5756,586.4135864135865,1565.4345654345657,53.94605394605395,50.94905094905096,22.97702297702298,1.9980019980019983,4.9950049950049955,23.976023976023978,5.994005994005994,40.95904095904096,49.95004995004996,3334.665334665335,7.992007992007993
HPAP-034,Body of pancreas,ROI1,CD163,0.972816,4358,548.9218927320275,591.0675811253104,34.950083057844445,17.475041528922223,10.27943619348366,9.251492574135293,7.195605335438562,9.251492574135293,33.922139438496075,2.055887238696732,0.0,3210.267923224947,5.13971809674183
HPAP-034,Body of pancreas,ROI2,CD163,1.51683,6307,433.7994369837095,510.93398732883713,27.03005610384816,28.348595425987092,22.415168476361888,5.274157288555738,2.637078644277869,10.548314577111476,44.830336952723776,4.614887627486271,1.9778089832084018,3050.440721768425,15.163202204597747
HPAP-034,Body of pancreas,ROI3,CD163,1.102144,5616,543.4861506300447,639.6623308750943,39.92218802624702,34.478253295395156,28.12699610940131,5.443934730851867,4.5366122757098895,9.073224551419779,29.941641019685267,0.9073224551419778,0.9073224551419778,3742.7051274606583,16.3318041925556
HPAP-034,Head of pancreas,ROI1,CD163,1.0,5058,527.0,486.0,35.0,19.0,22.0,5.0,12.0,11.0,28.0,0.0,3.0,3893.0,17.0
HPAP-034,Head of pancreas,ROI2,CD163,1.1,7018,759.9999999999999,492.7272727272727,39.090909090909086,28.18181818181818,35.45454545454545,11.818181818181817,10.0,18.18181818181818,61.81818181818181,1.8181818181818181,2.727272727272727,4896.363636363636,21.818181818181817
HPAP-034,Head of pancreas,ROI3,CD163,1.02,5145,594.1176470588235,500.98039215686276,69.6078431372549,43.13725490196078,18.627450980392158,0.9803921568627451,5.88235294117647,13.72549019607843,1.9607843137254901,0.0,0.9803921568627451,3790.1960784313724,3.9215686274509802
HPAP-034,Tail of pancreas,ROI1,CD163,1.0,2024,342.0,240.0,48.0,9.0,12.0,4.0,23.0,7.0,33.0,4.0,6.0,1289.0,7.0
HPAP-034,Tail of pancreas,ROI2,CD163,1.0,4780,713.0,855.0,66.0,38.0,28.0,12.0,11.0,11.0,24.0,2.0,8.0,2976.0,36.0
HPAP-034,Tail of pancreas,ROI3,CD163,1.02,2861,502.94117647058823,364.70588235294116,23.52941176470588,9.803921568627452,25.49019607843137,12.745098039215685,1.9607843137254901,8.823529411764707,29.41176470588235,0.0,4.901960784313726,1793.1372549019607,27.45098039215686
HPAP-034,Tail of pancreas,ROI4,CD163,1.0,2149,401.0,265.0,67.0,13.0,11.0,0.0,6.0,10.0,15.0,0.0,4.0,1350.0,7.0
HPAP-035,Body of pancreas,ROI1,CD11b,1.003002,5165,508.473562365778,783.6474902343166,46.859328296454045,101.69471247315559,69.7904889521656,1.9940139700618744,169.4911874552593,4.985034925154686,359.9195215961683,5.9820419101856235,107.67675438334122,2980.0538782574713,8.973062865278434
HPAP-035,Body of pancreas,ROI2,CD11b,0.999996,4120,327.00130800523203,559.002236008944,32.000128000512,69.000276001104,47.000188000752004,141.000564002256,32.000128000512,1.000004000016,214.00085600342402,4.000016000064,38.000152000608004,2560.01024004096,96.000384001536
HPAP-035,Body of pancreas,ROI3,CD11b,0.999996,5561,416.00166400665603,757.003028012112,52.000208000832004,0.0,5.00002000008,0.0,250.00100000400002,7.0000280001120005,381.001524006096,12.000048000192,403.001612006448,3275.0131000524,3.000012000048
HPAP-035,Head of pancreas,ROI1,CD11b,1.002,4972,292.41516966067866,826.3473053892216,29.940119760479043,60.87824351297405,109.78043912175649,3.992015968063872,83.83233532934132,3.992015968063872,137.7245508982036,6.986027944111776,182.63473053892216,3194.6107784431138,28.942115768463072
HPAP-035,Head of pancreas,ROI2,CD11b,1.002,6129,481.0379241516966,1157.6846307385229,1.996007984031936,41.91616766467066,21.956087824351297,6.986027944111776,0.998003992015968,1.996007984031936,6.986027944111776,0.0,0.0,4395.209580838324,0.0
HPAP-035,Head of pancreas,ROI3,CD11b,1.002,6261,365.2694610778443,1145.7085828343313,12.974051896207584,67.86427145708583,29.940119760479043,2.9940119760479043,7.984031936127744,4.990019960079841,25.948103792415168,0.0,2.9940119760479043,4580.838323353293,0.998003992015968
HPAP-035,Tail of pancreas,ROI1,CD11b,1.002001,3664,300.39890179750324,1350.298053594757,32.9340988681648,102.7943085885144,143.71243142471914,24.950074900124854,10.978032956054935,0.0,11.976035952059929,17.964053928089893,47.904143808239716,1563.8706947398257,48.90214680424471
HPAP-035,Tail of pancreas,ROI2,CD11b,0.999999,4252,259.000259000259,1666.001666001666,6.0000060000060005,52.000052000052,169.000169000169,4.000004000004,3.0000030000030002,23.000023000023,28.000028000028,6.0000060000060005,21.000021000021,1974.001974001974,41.000041000041
HPAP-035,Tail of pancreas,ROI3,CD11b,1.002001,3943,223.55267110511866,1707.5831261645449,4.99001498002497,53.89216178426968,141.71642543270917,2.9940089880149823,0.9980029960049941,0.9980029960049941,8.982026964044946,0.9980029960049941,12.974038948064923,1762.4732909448196,12.974038948064923
HPAP-036,Body of pancreas,ROI1,CD11b,1.0,8634,921.0,1811.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5897.0,0.0
HPAP-036,Body of pancreas,ROI2,CD11b,1.001,8005,952.0479520479522,1665.3346653346655,0.0,0.0,0.0,0.0,0.0,0.0,1.9980019980019983,0.0,0.0,5377.622377622378,0.0
HPAP-036,Body of pancreas,ROI3,CD11b,1.001,8372,604.3956043956044,2100.899100899101,4.9950049950049955,0.0,1.9980019980019983,0.0,26.973026973026975,0.9990009990009991,2.997002997002997,8.991008991008991,14.985014985014987,5596.403596403597,0.0
HPAP-036,Head of pancreas,ROI1,CD11b,1.002001,7743,679.640040279401,2281.4348488674163,22.954068908114863,23.952071904119858,32.9340988681648,11.976035952059929,1.9960059920099882,0.0,0.9980029960049941,4.99001498002497,9.98002996004994,4637.719922435207,18.962056924094888
HPAP-036,Head of pancreas,ROI2,CD11b,1.002001,8228,634.7299054591763,2498.0014990005,18.962056924094888,39.92011984019976,40.91812283620476,0.0,0.0,7.984023968039953,16.9660509320849,9.98002996004994,7.984023968039953,4919.156767308616,16.9660509320849
HPAP-036,Head of pancreas,ROI3,CD11b,1.002001,7624,601.7958065910115,2284.4288578554315,42.91412882821474,21.95606591210987,29.940089880149824,1.9960059920099882,17.964053928089893,0.9980029960049941,2.9940089880149823,12.974038948064923,6.986020972034958,4572.849727694883,10.978032956054935
HPAP-036,Tail of pancreas,ROI1,CD11b,0.999,8170,553.5535535535536,1728.7287287287288,139.13913913913913,1.001001001001001,2.002002002002002,0.0,235.23523523523522,3.003003003003003,71.07107107107107,71.07107107107107,310.3103103103103,5061.061061061061,2.002002002002002
HPAP-036,Tail of pancreas,ROI2,CD11b,0.999,7735,571.5715715715716,1946.946946946947,0.0,0.0,0.0,0.0,4.004004004004004,0.0,0.0,0.0,1.001001001001001,5219.21921921922,0.0
HPAP-036,Tail of pancreas,ROI3,CD11b,0.999,8354,504.5045045045045,1718.7187187187187,215.2152152152152,17.017017017017018,17.017017017017018,3.003003003003003,329.3293293293293,7.007007007007007,121.12112112112112,92.09209209209209,745.7457457457457,4578.578578578578,13.013013013013014
