name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
PARAM_CHEMO_CI_VAS_TIP,0.12,,lognormal,-2.120264,1.0,,
PARAM_CHEMO_CI_TREG_REG,0.13,,lognormal,-2.040221,1.0,,
PARAM_CHEMO_CI_TREG_TFH,0.126,,lognormal,-2.071473,0.7,,
PARAM_CHEMO_CI_MDSC,0.17,,lognormal,-1.771957,0.7,,
PARAM_CHEMO_CI_BCELL_NAIVE,0.107,,lognormal,-2.234926,0.7,,
PARAM_CHEMO_CI_BCELL_ACT,0.079,,lognormal,-2.538307,0.7,,
PARAM_CHEMO_CI_DC_IMMATURE,0.17,,lognormal,-1.771957,1.0,,
PARAM_CHEMO_CI_DC_MATURE,0.23,,lognormal,-1.469676,1.0,,
PARAM_CONTACT_GUIDANCE_CANCER_STEM,0.65,,lognormal,-0.430783,0.9,,
PARAM_CONTACT_GUIDANCE_CANCER_PROG,0.25,,lognormal,-1.386294,0.9,,
PARAM_CONTACT_GUIDANCE_TCELL,0.45,,lognormal,-0.798508,0.9,,
PARAM_CONTACT_GUIDANCE_TREG,0.35,,lognormal,-1.049822,0.9,,
PARAM_CONTACT_GUIDANCE_MAC,0.30,,lognormal,-1.203973,0.9,,
PARAM_CONTACT_GUIDANCE_FIB_MYCAF,0.4,,lognormal,-0.916291,0.9,,
PARAM_CONTACT_GUIDANCE_FIB_ICAF,0.1,,lognormal,-2.302585,0.9,,
PARAM_FIBER_BARRIER_CANCER_STEM,0.40,,lognormal,-0.916291,0.9,,
PARAM_FIBER_BARRIER_CANCER_PROG,0.55,,lognormal,-0.597837,0.9,,
PARAM_FIBER_BARRIER_TCELL,0.3,,lognormal,-1.203973,1.0,,
PARAM_FIBER_BARRIER_TREG,0.3,,lognormal,-1.203973,1.0,,
PARAM_FIBER_BARRIER_MAC,0.30,,lognormal,-1.203973,0.9,,
PARAM_FIBER_BARRIER_FIB_MYCAF,0.1,,lognormal,-2.302585,0.9,,
PARAM_FIBER_BARRIER_FIB_ICAF,0.1,,lognormal,-2.302585,0.9,,
PARAM_FIBER_BARRIER_VAS_TIP,0.3,,lognormal,-1.203973,0.9,,
PARAM_FIBER_BARRIER_MDSC,0.4,,lognormal,-0.916291,0.9,,
PARAM_FIBER_BARRIER_DC,0.50,,lognormal,-0.693147,0.9,,
PARAM_FIBER_BARRIER_BCELL,0.5,,lognormal,-0.693147,0.9,,
PARAM_NAIVE_CD8_RECRUIT_FRAC,0.05,,uniform,0.025,0.075,0.025,0.075
PARAM_NAIVE_CD4_RECRUIT_FRAC,0.05,,uniform,0.025,0.075,0.025,0.075
PARAM_NAIVE_LIFESPAN_STEPS,16,,lognormal,2.772589,0.4,,
PARAM_PRIME_DIV_BURST,4,,lognormal,1.386294,0.7,,
PARAM_MOLECULAR_STEPS,36,,lognormal,3.583519,0.7,,
PARAM_IFNG_DIFFUSIVITY,1.26e-7,,lognormal,-15.886984,0.7,,
PARAM_IL2_DIFFUSIVITY,6.87e-8,,lognormal,-16.493517,0.7,,
PARAM_CCL2_DIFFUSIVITY,2.92e-8,,lognormal,-17.349097,0.7,,
PARAM_CCL2_UPTAKE,5e-4,,lognormal,-7.600902,0.7,,
PARAM_ARGI_DIFFUSIVITY,6.35e-7,,lognormal,-14.269641,0.7,,
PARAM_NO_DIFFUSIVITY,3.09e-5,,lognormal,-10.384754,0.7,,
PARAM_TGFB_DIFFUSIVITY,2.67e-7,,lognormal,-15.136017,0.7,,
PARAM_STEM_TGFB_RELEASE,6.3e-13,,lognormal,-28.093057,1.5,,
PARAM_PROG_TGFB_RELEASE,6.3e-13,,lognormal,-28.093057,1.5,,
PARAM_IL10_DIFFUSIVITY,2.70e-8,,lognormal,-17.427429,0.7,,
PARAM_IL12_DIFFUSIVITY,3.97e-8,,lognormal,-17.041915,0.7,,
PARAM_VEGFA_DIFFUSIVITY,2.71e-7,,lognormal,-15.121147,0.7,,
PARAM_VEGFA_UPTAKE,5e-5,,lognormal,-9.903488,0.7,,
PARAM_VEGFA_DECAY_RATE,0.0001921,,lognormal,-8.557494,0.7,,
PARAM_O2_DIFFUSIVITY,1.75e-5,,lognormal,-10.953310,0.7,,
PARAM_O2_UPTAKE,0.10,,lognormal,-2.302585,0.7,,
PARAM_O2_DECAY_RATE,1e-5,,lognormal,-11.512925,0.7,,
PARAM_IL1_DIFFUSIVITY,1.31e-7,,lognormal,-15.848069,0.7,,
PARAM_MAC_M1_IL1_RELEASE,4.7e-13,,lognormal,-28.386044,0.7,,
